park_id,squirrel_id,location,above_ground,specific_location,interactions_with_humans,observations,latitude,longitude
1.0,A-01-01,Ground Plane,,,Indifferent,,40.85941,-73.93394
1.0,A-01-02,Ground Plane,,,Indifferent,Looks skinny,40.859436,-73.93394
1.0,A-01-03,Ground Plane,,,Indifferent,,40.859417,-73.93389
1.0,A-01-04,Ground Plane,,,Indifferent,,40.859417,-73.93389
1.0,A-01-05,Ground Plane,,,Indifferent,She left food,40.859493,-73.93359
1.0,A-01-06,Ground Plane,,,Indifferent,,40.860825,-73.93287
1.0,A-01-07,Ground Plane,,,Indifferent,,40.860226,-73.93314
1.0,A-01-08,Above Ground,10,,Runs From,,40.859966,-73.93341
1.0,A-01-09,Ground Plane,,,Indifferent,,40.859894,-73.93333
1.0,A-01-10,Ground Plane,,,Indifferent,,40.859634,-73.933716
1.0,A-01-11,Ground Plane,,,Indifferent,was intimidated by a dog,40.859577,-73.93374
1.0,A-01-12,Ground Plane,,,Runs From,,40.85999,-73.93455
2.0,A-02-01,Ground Plane,,,Indifferent,,40.84575,-73.9407
2.0,A-02-02,Above Ground,2,,Indifferent,,40.845875,-73.94081
2.0,A-02-03,Ground Plane,,,,,40.845875,-73.94081
2.0,A-02-04,Ground Plane,,,Indifferent,,40.84609,-73.94061
2.0,A-02-05,Ground Plane,,,Runs From,,40.84609,-73.94061
2.0,A-02-06,Ground Plane,,,Indifferent,,40.84609,-73.94061
2.0,A-02-07,Ground Plane,,,Runs From,,40.846222,-73.94094
2.0,A-02-08,Ground Plane,,,Indifferent,,40.846222,-73.94094
2.0,A-02-09,Ground Plane,,,Indifferent,,40.846195,-73.941025
2.0,A-02-10,Ground Plane,,,Indifferent,,40.846184,-73.94061
2.0,A-02-11,Ground Plane,,,Runs From,,40.84627,-73.94058
2.0,A-02-12,"Above Ground, Specific Location",15,tree,Indifferent,,40.846333,-73.94037
2.0,A-02-13,"Above Ground, Specific Location",20,tree,Indifferent,,40.846333,-73.94037
2.0,A-02-14,Ground Plane,,,Indifferent,,40.846333,-73.94037
2.0,A-02-15,Ground Plane,,,Indifferent,,40.84646,-73.94103
2.0,A-02-16,"Above Ground, Specific Location",20,tree,Indifferent,,40.846416,-73.94112
2.0,A-02-17,Ground Plane,,,Indifferent,,40.846294,-73.94113
2.0,A-02-18,Ground Plane,,,Indifferent,,40.846066,-73.9415
2.0,A-02-19,"Above Ground, Specific Location",2,tree,Indifferent,,40.846066,-73.9415
2.0,A-02-20,Ground Plane,,,Indifferent,,40.847298,-73.94206
2.0,A-02-21,Ground Plane,,,Runs From,,40.84726,-73.9416
2.0,A-02-22,Ground Plane,,,Indifferent,,40.84719,-73.94131
2.0,A-02-23,"Above Ground, Specific Location",2,fence,Indifferent,,40.84719,-73.94131
2.0,A-02-24,"Above Ground, Specific Location",20,tree,Indifferent,,40.847115,-73.94093
3.0,A-03-01,"Above Ground, Specific Location",2,in tree,Watches us from tree,#1 and #2 chasing each other,40.84118,-73.93548
3.0,A-03-02,"Above Ground, Specific Location",2,in tree,Runs From,#1 and #2 chasing each other,40.841206,-73.93543
3.0,A-03-03,"Above Ground, Specific Location",2,in tree,,,40.841213,-73.93483
3.0,A-03-04,Above Ground,3,,,,40.841217,-73.934715
3.0,A-03-05,Ground Plane,,,Runs From,"#5, #6 & #7 together in shrub area to East, a lot of acorns and Corona bottle caps on ground",40.84136,-73.93434
3.0,A-03-06,"Above Ground, Specific Location",2,in tree,"Runs From, watchful","#5, #6 & #7 together in shrub area to East, a lot of acorns and Corona bottle caps on ground",40.841373,-73.93424
3.0,A-03-07,"Above Ground, Specific Location",< 1,on log,Runs From,"#5, #6 & #7 together in shrub area to East, a lot of acorns and Corona bottle caps on ground",40.841373,-73.93424
3.0,A-03-08,"Above Ground, Specific Location",3,in wall,Runs From,"#8 & #9 saw together at start of river overlook, hiding in cracks of cement wall! so cool!",40.842308,-73.93306
3.0,A-03-09,"Above Ground, Specific Location",3,in wall,,"#8 & #9 saw together at start of river overlook, hiding in cracks of cement wall! so cool!",40.8424,-73.93298
3.0,A-03-10,"Ground Plane, Above Ground",6���18,"Started on ground, climbed 6���18 ft.",Watching us from tree - very interested in us,"Lots of garbage, near #8 & #9",40.84251,-73.932915
3.0,A-03-11,Above Ground,4,,"Approaches, watching us",,40.842674,-73.93279
3.0,A-03-12,Ground Plane,,,Runs From,,40.842796,-73.933
3.0,A-03-13,Ground Plane,,,,,,
3.0,A-03-14,Ground Plane,,,"Runs From, watches us in short tree",Loud sparrows in tree,40.842327,-73.93427
3.0,A-03-15,"Above Ground, Specific Location",9,in tree,,,40.842358,-73.93417
3.0,A-03-16,Ground Plane,,,Indifferent,,40.84277,-73.93448
4.0,A-04-01,Above Ground,,,Indifferent,Jumping between,40.817593,-73.94885
4.0,A-04-02,Ground Plane,,,Indifferent,Chasing #3,40.81772,-73.94885
4.0,A-04-03,Ground Plane,,,Indifferent,Being chased by #2,40.81772,-73.94891
4.0,A-04-04,Ground Plane,,,Indifferent,,40.81771,-73.94912
4.0,A-04-05,Ground Plane,,,Indifferent,,40.81757,-73.94893
4.0,A-04-06,Above Ground,,,Indifferent,,40.817543,-73.94901
4.0,A-04-07,Above Ground,,,Indifferent,,40.817543,-73.94901
4.0,A-04-08,Ground Plane,,,Runs From,,40.81748,-73.949005
4.0,A-04-09,Ground Plane,,,Indifferent,Wooded area,40.816685,-73.94969
4.0,A-04-10,Ground Plane,,,Indifferent,Wooded area,40.816677,-73.94955
4.0,A-04-11,Ground Plane,,,Indifferent,Wooded area,40.816555,-73.94961
4.0,A-04-12,Ground Plane,,,Indifferent,Wooded area - would look but not fully approach,40.816505,-73.949585
4.0,A-04-13,Ground Plane,,,Indifferent,,40.816425,-73.94947
4.0,A-04-14,Ground Plane,,,Indifferent,,40.81831,-73.94895
4.0,A-04-15,Ground Plane,,,Indifferent,,40.818264,-73.948906
5.0,A-05-01,Ground Plane,,,Runs From,,,
5.0,A-05-02,Ground Plane,,,Runs From,,,
5.0,A-05-03,Ground Plane,,,Indifferent,,,
5.0,A-05-04,Ground Plane,,,Indifferent,,,
5.0,A-05-05,Ground Plane,,,,,,
5.0,A-05-06,Above Ground,15,,Indifferent,,,
5.0,A-05-07,Ground Plane,,,Indifferent,Forever wild section,,
5.0,A-05-08,Ground Plane,,,Indifferent,,,
5.0,A-05-09,Ground Plane,,,Indifferent,,,
5.0,A-05-10,Ground Plane,,,Indifferent,,,
5.0,A-05-11,Ground Plane,,,Indifferent,,,
5.0,A-05-12,Ground Plane,,,Indifferent,,,
5.0,A-05-13,Ground Plane,,,Indifferent,,,
5.0,A-05-14,Ground Plane,,,Indifferent,,,
5.0,A-05-15,Ground Plane,,,Indifferent,,,
5.0,A-05-16,Ground Plane,,,Indifferent,,,
5.0,A-05-17,Ground Plane,,,Okay with people,,,
5.0,A-05-18,Ground Plane,,,Indifferent,,,
5.0,A-05-19,"Above Ground, Specific Location",,Tree,Indifferent,,,
5.0,A-05-20,Ground Plane,,,Indifferent,,,
5.0,A-05-21,Ground Plane,,at tree,Indifferent,,,
5.0,A-05-22,Ground Plane,,,,,,
5.0,A-05-23,Ground Plane,,,,,,
5.0,A-05-24,,,,,,,
5.0,A-05-25,Ground Plane,,,Indifferent,,,
5.0,A-05-26,Ground Plane,,,Indifferent,,,
5.0,A-05-27,Ground Plane,,,Indifferent,,,
5.0,A-05-28,Ground Plane,,,Indifferent,,,
6.0,A-06-01,Above Ground,20���40,,Indifferent,HAWK. HAAAAAWK. All in 1 tree.,40.804913,-73.94373
6.0,A-06-02,Above Ground,20���40,,Indifferent,HAWK. HAAAAAWK. All in 1 tree.,40.804913,-73.94373
6.0,A-06-03,Above Ground,20���40,,Indifferent,HAWK. HAAAAAWK. All in 1 tree.,40.804913,-73.94373
6.0,A-06-04,Above Ground,20���40,,Indifferent,HAWK. HAAAAAWK. All in 1 tree.,40.804916,-73.94373
6.0,A-06-05,Above Ground,20���40,,Indifferent,HAWK. HAAAAAWK. All in 1 tree.,40.804916,-73.94373
6.0,A-06-06,Above Ground,20���40,,Indifferent,HAWK. HAAAAAWK. All in 1 tree.,40.804913,-73.94373
6.0,A-06-07,Above Ground,20���40,,Indifferent,HAWK. HAAAAAWK. All in 1 tree.,40.804916,-73.94373
6.0,A-06-08,Above Ground,25,,,Defending the tree from the HAAAAWK. The bravest.,40.804913,-73.94374
